IP Prefix	Description
150.222.105.0/24	ap-northeast-1-amazon-ap-northeast-1-378
15.230.131.3/32	eu-central-1-amazon-eu-central-1-379
52.219.148.0/23	ap-northeast-2-s3-ap-northeast-2-2258
99.77.155.0/24	eu-west-1-ec2-eu-west-1-2499
150.222.3.176/32	ap-southeast-1-amazon-ap-southeast-1-382
52.93.178.206/32	us-west-1-amazon-us-west-1-383
52.93.178.230/32	us-west-1-amazon-us-west-1-384
52.95.255.32/28	ap-southeast-1-ec2-ap-southeast-1-2500
52.144.229.0/26	ap-southeast-2-amazon-ap-southeast-2-386
69.230.192.0/18	cn-northwest-1-ec2-cn-northwest-1-2501
130.176.0.0/17	GLOBAL-cloudfront-GLOBAL-3021
160.1.0.0/16	us-gov-west-1-ec2-us-gov-west-1-2502
3.5.128.0/22	us-east-2-ec2-us-east-2-2503
15.230.21.0/24	ca-central-1-amazon-ca-central-1-391
18.216.0.0/14	us-east-2-ec2-us-east-2-2504
34.192.0.0/12	us-east-1-ec2-us-east-1-2505
52.93.37.222/32	us-west-1-amazon-us-west-1-394
52.93.178.220/32	us-west-1-amazon-us-west-1-395
52.94.64.0/22	ca-central-1-amazon-ca-central-1-396
99.83.100.0/24	ap-northeast-3-globalaccelerator-ap-northeast-3-3089
3.104.0.0/14	ap-southeast-2-ec2-ap-southeast-2-2506
15.193.5.0/24	eu-west-2-ec2-eu-west-2-2507
15.230.39.24/31	us-east-2-amazon-us-east-2-400
15.230.39.162/31	us-east-2-amazon-us-east-2-401
52.80.0.0/16	cn-north-1-ec2-cn-north-1-2508
52.95.216.0/22	us-east-1-amazon-us-east-1-403
52.119.232.0/21	us-east-1-dynamodb-us-east-1-2377
52.144.201.128/26	ca-central-1-amazon-ca-central-1-405
54.231.244.0/22	us-east-1-amazon-us-east-1-406
99.150.32.0/21	ap-southeast-2-ec2-ap-southeast-2-2509
150.222.99.0/24	us-east-1-amazon-us-east-1-408
150.222.218.0/24	us-west-2-amazon-us-west-2-409
175.41.128.0/18	ap-southeast-1-ec2-ap-southeast-1-2510
